X,Y,Z,A,Ay,Az,
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,5,0
355,56,-15,8,1,4,0
356,56,-15,8,1,4,0
356,56,-15,8,1,5,0
355,56,-16,9,2,7,1
355,52,-15,8,2,8,1
356,43,-14,7,2,9,1
358,30,-12,6,2,10,1
0,13,-8,5,0,9,1
2,-4,-2,1,0,5,1
2,-24,3,-4,0,3,1
2,-35,4,-4,-1,2,1
3,-37,3,-5,0,7,1
3,-40,4,-7,-1,7,1
1,-44,5,-8,0,6,1
0,-51,7,-7,0,5,0
2,-57,12,-4,-1,5,0
7,-57,17,-2,-2,5,0
14,-43,22,-1,-3,6,0
21,-11,21,5,-2,9,0
24,28,15,14,-2,10,0
13,70,12,16,-1,7,0
4,77,140,11,2,6,0
2,63,159,6,0,0,0
358,57,164,7,-1,-1,0
354,56,165,7,-2,-3,0
353,57,163,8,-2,-4,0
350,60,158,8,-2,-3,0
351,62,154,8,-1,-3,0
353,66,150,8,-1,-3,0
355,70,145,8,-1,-1,0
352,75,126,7,-1,1,0
351,75,67,7,-1,5,0
350,60,29,9,-2,8,0
352,35,16,8,-1,13,0
354,8,10,6,0,13,0
359,-14,11,1,-2,9,0
4,-30,17,-1,-4,5,0
10,-38,27,-3,-4,5,0
13,-40,35,-5,-5,5,0
14,-42,31,-4,-3,5,0
13,-44,25,-6,-2,6,0
11,-46,23,-7,-2,5,0
10,-46,22,-6,-2,4,0
10,-43,21,-5,-2,4,0
9,-37,16,-4,-2,5,0
8,-28,8,-2,-1,6,0
5,-14,0,1,0,7,0
359,4,-2,3,0,9,0
355,25,0,8,0,9,0
346,43,0,10,1,8,0
333,55,1,10,2,8,1
315,60,8,8,2,6,1
296,60,8,7,1,5,1
274,59,1,7,1,5,1
263,58,-3,8,1,5,1
257,58,-7,8,1,5,1
